Kedalaman,DO,Arus,pH,Temperatur,Salinitas,Kekeruhan,Konduktivitas,Kecerahan,BOD5,COD,Klorofil_a,PP,TSS,TDS,Kand_Organik,Ammonia,Nitrat,Nitrit,Ortofosfat,Total_Phosphorus,Heterotrofik,Vibrio,Salmonella,E_Coli,Status
0,4.5,0.006544985,8.05,28.6,34.1,2.11,50.3,5.44,21,11,0.15,2.376302083,2.5,22200,5.27,0.052,0.025,0.005,0.0295,20,174000,30,0,27,Oligotrofik
3,4.3,0.039269908,7.96,28.5,34,2.3,50.2,5.44,22.5,11,0.14,7.366536458,2.5,22200,5.27,0.0385,0.034,0.005,0.0215,20,174000,30,0,27,Oligotrofik
6,4.5,0.045814893,9.01,28.3,34,2.04,50.1,5.44,23,11,0.21,0.475260417,2.5,22200,5.27,0.0865,0.0435,0.005,0.0235,20,174000,30,0,27,Oligotrofik
0,6.6,0.045814893,7.89,28.8,34.1,2.92,50.4,8.15,14,3.68,0.24,4.514973958,2.5,22000,1.81,0.078,0.025,0.005,0.051,24,80700,0,4,2,Oligotrofik
3,6,0.013089969,7.92,28.6,34.1,2.36,50.3,8.15,17.5,3.68,0.08,4.039713542,2.5,22000,1.81,0.038,0.0435,0.005,0.023,24,80700,0,4,2,Oligotrofik
6,5.6,0.006544985,7.92,28.2,34.2,1.98,50.4,8.15,24,3.68,0.2,-0.237630208,2.5,22000,1.81,0.038,0.032,0.005,0.02,24,80700,0,4,2,Oligotrofik
0,9.1,0.026179939,7.99,29.1,34.1,3.78,50.3,8.93,26,7.36,0.11,5.227864583,2.5,20400,5.42,0.04,0.025,0.005,0.1045,16,96700,0,18400,1,Oligotrofik
3,8.7,0.045814893,7.94,28.7,34,3.28,50.2,8.93,21,7.36,0.13,0.712890625,2.5,20400,5.42,0.038,0.03,0.005,0.0445,16,96700,0,18400,1,Oligotrofik
6,8.8,0.039269908,7.92,28.6,34,2.28,50.2,8.93,19,7.36,0.2,1.42578125,2.5,20400,5.42,0.0785,0.025,0.005,0.0175,16,96700,0,18400,1,Oligotrofik
0,7.3,0.032724923,7.84,28.9,34.1,2.65,50.3,7.72,12,5.52,0.22,-5.940755208,2.5,22200,3.01,0.038,0.026,0.005,0.023,24,52000,0,15500,400,Oligotrofik
3,6.6,0.006544985,7.95,28.8,33.9,2.66,50.1,7.72,10.5,5.52,0.24,0.950520833,2.5,22200,3.01,0.0535,0.0355,0.005,0.035,24,52000,0,15500,400,Oligotrofik
6,6.6,0.013089969,7.94,28.5,34.2,1.89,50.4,7.72,13.5,5.52,0.26,3.564453125,2.5,22200,3.01,0.0385,0.0315,0.005,0.0395,24,52000,0,15500,400,Oligotrofik
0,5.3,0.032724923,7.97,28.1,33.9,1.95,50.1,7.58,21,11,0.15,2.376302083,2.5,22200,5.27,0.042,0.025,0.005,0.027,20,174000,30,0,27,Oligotrofik
3,4.6,0.019634954,7.97,27.8,34,1.47,50.3,7.58,22.5,11,0.14,7.366536458,2.5,22200,5.27,0.038,0.025,0.005,0.0195,20,174000,30,0,27,Oligotrofik
6,4.7,0.026179939,7.96,28.2,33.9,4.18,50.1,7.58,23,11,0.21,0.475260417,2.5,22200,5.27,0.1475,0.025,0.005,0.024,20,174000,30,0,27,Oligotrofik
0,6.5,0.032724923,7.7,29.2,34.1,1.03,50.3,11.92,14,3.68,0.24,4.514973958,2.5,22000,1.81,0.038,0.045,0.005,0.035,24,80700,0,4,2,Oligotrofik
3,6.8,0.058904862,7.82,28.6,33.9,1.05,50.1,11.92,17.5,3.68,0.08,4.039713542,2.5,22000,1.81,0.038,0.026,0.005,0.0245,24,80700,0,4,2,Oligotrofik
6,6.7,0.039269908,7.9,28.3,34.1,1.39,50.4,11.92,24,3.68,0.2,-0.237630208,2.5,22000,1.81,0.062,0.025,0.005,0.02,24,80700,0,4,2,Oligotrofik
0,6.9,0.006544985,7.87,28.8,34,1.1,50.3,8.6,26,7.36,0.11,5.227864583,2.5,20400,5.42,0.038,0.025,0.005,0.031,16,96700,0,18400,1,Oligotrofik
3,6.6,0.019634954,7.83,28.8,33.9,2.97,50.1,8.6,21,7.36,0.13,0.712890625,2.5,20400,5.42,0.038,0.025,0.005,0.0195,16,96700,0,18400,1,Oligotrofik
6,6.8,0,7.77,28.4,34.1,2,50.3,8.6,19,7.36,0.2,1.42578125,2.5,20400,5.42,0.0385,0.025,0.005,0.034,16,96700,0,18400,1,Oligotrofik
0,6.9,0,7.79,28.4,34.1,0.99,50.1,10,12,5.52,0.22,-5.940755208,2.5,22200,3.01,0.121,0.045,0.005,0.03,24,52000,0,15500,400,Oligotrofik
3,7.6,0,7.79,28.2,34.2,1.74,50.4,10,10.5,5.52,0.24,0.950520833,2.5,22200,3.01,0.0705,0.0355,0.005,0.0315,24,52000,0,15500,400,Oligotrofik
6,6.9,0,7.74,28.4,34,3.79,49,10,13.5,5.52,0.26,3.564453125,2.5,22200,3.01,0.0865,0.3725,0.005,0.0295,24,52000,0,15500,400,Oligotrofik
0,4.5,0.006544985,8.05,28.6,34.1,2.11,50.3,5.44,21,11,0.15,2.376302083,2.5,22200,5.27,0.066,0.025,0.005,0.019,20,174000,30,0,27,Oligotrofik
3,4.3,0.039269908,7.96,28.5,34,2.3,50.2,5.44,22.5,11,0.14,7.366536458,2.5,22200,5.27,0.039,0.043,0.005,0.016,20,174000,30,0,27,Oligotrofik
6,4.5,0.045814893,9.01,28.3,34,2.04,50.1,5.44,23,11,0.21,0.475260417,2.5,22200,5.27,0.135,0.067,0.005,0.026,20,174000,30,0,27,Oligotrofik
0,4.4,0.032724923,8.02,28.6,33.9,1.63,50,7,14,3.68,0.24,4.514973958,2.5,22000,1.81,0.118,0.025,0.005,0.045,24,80700,0,4,2,Oligotrofik
3,4,0.045814893,7.9,28.7,34,2.13,50.1,7,17.5,3.68,0.08,4.039713542,2.5,22000,1.81,0.038,0.025,0.005,0.019,24,80700,0,4,2,Oligotrofik
6,2.6,0.026179939,8.01,28.4,33.8,2.24,49.9,7,24,3.68,0.2,-0.237630208,2.5,22000,1.81,0.038,0.039,0.005,0.023,24,80700,0,4,2,Oligotrofik
0,4.6,0.065449847,8,29.1,33.8,2.44,49.9,6.31,26,7.36,0.11,5.227864583,2.5,20400,5.42,0.042,0.025,0.005,0.035,16,96700,0,18400,1,Oligotrofik
3,4.1,0.013089969,7.99,28.2,34,3.4,50.2,6.31,21,7.36,0.13,0.712890625,2.5,20400,5.42,0.038,0.035,0.005,0.021,16,96700,0,18400,1,Oligotrofik
6,4.5,0.006544985,8.02,28.4,34,2.24,50.2,6.31,19,7.36,0.2,1.42578125,2.5,20400,5.42,0.038,0.025,0.005,0.019,16,96700,0,18400,1,Oligotrofik
0,5,0.032724923,7.96,29.6,34.1,3.35,50.3,4.18,12,5.52,0.22,-5.940755208,2.5,22200,3.01,0.038,0.025,0.005,0.026,24,52000,0,15500,400,Oligotrofik
3,3.5,0.058904862,7.99,28.7,33.9,2.99,50,4.18,10.5,5.52,0.24,0.950520833,2.5,22200,3.01,0.069,0.025,0.005,0.049,24,52000,0,15500,400,Oligotrofik
6,3.5,0.052359878,7.98,28.8,33.9,3.12,50.1,4.18,13.5,5.52,0.26,3.564453125,2.5,22200,3.01,0.038,0.025,0.005,0.029,24,52000,0,15500,400,Oligotrofik
0,5.3,0.032724923,7.97,28.1,33.9,1.95,50.1,7.58,21,11,0.15,2.376302083,2.5,22200,5.27,0.046,0.025,0.005,0.032,20,174000,30,0,27,Oligotrofik
3,4.6,0.019634954,7.97,27.8,34,1.47,50.3,7.58,22.5,11,0.14,7.366536458,2.5,22200,5.27,0.038,0.025,0.005,0.014,20,174000,30,0,27,Oligotrofik
6,4.7,0.026179939,7.96,28.2,33.9,4.18,50.1,7.58,23,11,0.21,0.475260417,2.5,22200,5.27,0.178,0.025,0.005,0.023,20,174000,30,0,27,Oligotrofik
0,5.7,0.071994832,7.9,27.3,34,6.33,50.2,6.97,14,3.68,0.24,4.514973958,2.5,22000,1.81,NA,NA,0.005,NA,24,80700,0,4,2,Oligotrofik
3,5.4,0.071994832,7.94,27.6,34,2.6,50.2,6.97,17.5,3.68,0.08,4.039713542,2.5,22000,1.81,0.038,0.025,0.005,0.026,24,80700,0,4,2,Oligotrofik
6,5,0.032724923,7.93,27.8,34.1,3.08,50.3,6.97,24,3.68,0.2,-0.237630208,2.5,22000,1.81,0.086,0.025,0.005,0.02,24,80700,0,4,2,Oligotrofik
0,5.2,0.143989663,7.95,27.8,33.9,1.96,50.1,5.33,26,7.36,0.11,5.227864583,2.5,20400,5.42,0.038,0.025,0.005,0.029,16,96700,0,18400,1,Oligotrofik
3,4.5,0.078539816,7.95,28,34,2.57,50.2,5.33,21,7.36,0.13,0.712890625,2.5,20400,5.42,0.038,0.025,0.005,0.02,16,96700,0,18400,1,Oligotrofik
6,4.5,0.058904862,7.96,28.1,33.6,2.05,49.8,5.33,19,7.36,0.2,1.42578125,2.5,20400,5.42,0.039,0.025,0.005,0.051,16,96700,0,18400,1,Oligotrofik
0,5.1,0.045814893,7.97,28.1,34,5.52,50.2,6.18,12,5.52,0.22,-5.940755208,2.5,22200,3.01,NA,NA,0.005,NA,24,52000,0,15500,400,Oligotrofik
3,5.5,0.078539816,7.95,27.8,34.1,2.22,50.3,6.18,10.5,5.52,0.24,0.950520833,2.5,22200,3.01,0.072,0.025,0.005,0.043,24,52000,0,15500,400,Oligotrofik
6,4.5,0.058904862,7.96,27.8,34,3.58,50.3,6.18,13.5,5.52,0.26,3.564453125,2.5,22200,3.01,0.038,0.706,0.005,0.04,24,52000,0,15500,400,Oligotrofik
0,8.2,0.065449847,8.02,29.1,34.2,1.62,50.5,6,21,11,0.15,2.376302083,2.5,22200,5.27,0.038,0.025,0.005,0.027,20,174000,30,0,27,Oligotrofik
3,6.7,0.013089969,8,29.7,34.2,2.01,50.4,6,22.5,11,0.14,7.366536458,2.5,22200,5.27,0.038,0.025,0.005,0.021,20,174000,30,0,27,Oligotrofik
6,7.7,0.019634954,8.01,29.6,34.2,1.72,50.5,6,23,11,0.21,0.475260417,2.5,22200,5.27,0.038,0.02,0.005,0.057,20,174000,30,0,27,Oligotrofik
0,8.4,0.039269908,8.09,28.2,34.3,1.31,50.6,5.25,14,3.68,0.24,4.514973958,2.5,22000,1.81,0.038,0.025,0.005,0.027,24,80700,0,4,2,Oligotrofik
3,8.06,0.058904862,8.5,28.5,34.2,1.27,50.4,5.25,17.5,3.68,0.08,4.039713542,2.5,22000,1.81,0.038,0.062,0.005,0.017,24,80700,0,4,2,Oligotrofik
6,8.5,0.032724923,8.08,29.2,34.1,1.43,50.3,5.25,24,3.68,0.2,-0.237630208,2.5,22000,1.81,0.038,0.025,0.005,0.174,24,80700,0,4,2,Oligotrofik
0,8.7,0.026179939,8.02,28.4,34.2,3.46,50.4,10.4,26,7.36,0.11,5.227864583,2.5,20400,5.42,0.038,0.025,0.005,0.068,16,96700,0,18400,1,Oligotrofik
3,7.5,0.026179939,8.02,28.3,34.1,2.49,50.4,10.4,21,7.36,0.13,0.712890625,2.5,20400,5.42,0.038,0.025,0.005,0.016,16,96700,0,18400,1,Oligotrofik
6,7.8,0.019634954,8.02,27.7,34.2,4.73,50.6,10.4,19,7.36,0.2,1.42578125,2.5,20400,5.42,0.119,0.025,0.005,0.02,16,96700,0,18400,1,Oligotrofik
0,8.2,0.019634954,8.07,28.5,34.2,25.6,50.5,5.65,12,5.52,0.22,-5.940755208,2.5,22200,3.01,0.038,0.027,0.005,0.021,24,52000,0,15500,400,Oligotrofik
3,8,0.006544985,8.05,28.1,34.3,25.2,50.6,5.65,10.5,5.52,0.24,0.950520833,2.5,22200,3.01,0.038,0.046,0.005,0.05,24,52000,0,15500,400,Oligotrofik
6,7,0.065449847,8.04,27.8,34.1,5.37,50.4,5.65,13.5,5.52,0.26,3.564453125,2.5,22200,3.01,0.039,0.038,0.005,0.022,24,52000,0,15500,400,Oligotrofik
0,8.1,0.006544985,8.04,27.9,34.3,1.54,50.5,8.9,21,11,0.15,2.376302083,2.5,22200,5.27,0.038,0.025,0.005,0.025,20,174000,30,0,27,Oligotrofik
3,7.1,0,8.04,28.1,34.2,2.08,50.4,8.9,22.5,11,0.14,7.366536458,2.5,22200,5.27,0.038,0.025,0.005,0.025,20,174000,30,0,27,Oligotrofik
6,7.1,0.006544985,8.04,28.1,34.2,1.77,50.5,8.9,23,11,0.21,0.475260417,2.5,22200,5.27,0.117,0.025,0.005,0.035,20,174000,30,0,27,Oligotrofik
0,8,0.065449847,7.98,27.2,34.4,1.44,50.8,7.47,14,3.68,0.24,4.514973958,2.5,22000,1.81,0.038,0.045,0.005,0.023,24,80700,0,4,2,Oligotrofik
3,7.9,0.039269908,8,27.6,34.2,2.74,50.5,7.47,17.5,3.68,0.08,4.039713542,2.5,22000,1.81,0.038,0.027,0.005,0.02,24,80700,0,4,2,Oligotrofik
6,8.1,0.032724923,8,27.8,34.1,1.35,50.3,7.47,24,3.68,0.2,-0.237630208,2.5,22000,1.81,0.038,0.025,0.005,0.033,24,80700,0,4,2,Oligotrofik
0,8,0.026179939,8.1,27.4,34.3,1.01,50.6,5.31,26,7.36,0.11,5.227864583,2.5,20400,5.42,0.038,0.025,0.005,0.019,16,96700,0,18400,1,Oligotrofik
3,7.7,0.006544985,8.02,27.9,34.1,2.41,50.4,5.31,21,7.36,0.13,0.712890625,2.5,20400,5.42,0.038,0.025,0.005,0.017,16,96700,0,18400,1,Oligotrofik
6,7.5,0,8.01,27.8,34.1,3.59,50.4,5.31,19,7.36,0.2,1.42578125,2.5,20400,5.42,0.038,0.025,0.005,0.03,16,96700,0,18400,1,Oligotrofik
0,7.5,0.026179939,8.01,27.9,34.1,2.21,50.4,6,12,5.52,0.22,-5.940755208,2.5,22200,3.01,0.121,0.045,0.005,0.02,24,52000,0,15500,400,Oligotrofik
3,8.8,0.026179939,8.01,27.9,34.1,1.87,50.3,6,10.5,5.52,0.24,0.950520833,2.5,22200,3.01,0.069,0.046,0.005,0.019,24,52000,0,15500,400,Oligotrofik
6,8.5,0.019634954,8.03,28.1,34.1,2.02,50.4,6,13.5,5.52,0.26,3.564453125,2.5,22200,3.01,0.135,0.039,0.005,0.032,24,52000,0,15500,400,Oligotrofik
0,7.2,0.013083333,8.2,28.7,32,1.59,50.5,4.6,13,31,0.13,1.901041667,3300,28500,8000,0.12,0.01,0.004,0.21,10,42083333.33,0,93858333.33,2778333.333,Eutrofik
3,7.1,0.045791667,8.2,28.7,32,1.62,50.4,4.6,1,46.5,0.27,-1.901041667,3200,34500,6800,0.12,0.01,0.004,0.14,10,42083333.33,0,93858333.33,2778333.333,Eutrofik
